Time,Open,Close,High,Low,Volume
2022-03-14 06:00:00,0.42960000,0.39200000,0.43340000,0.38118000,46614055.50000000
2022-03-14 05:00:00,0.42494000,0.42958000,0.43100000,0.41001000,34568449.90000000
2022-03-14 04:00:00,0.43030000,0.42495000,0.43300000,0.41500000,39303598.80000000
2022-03-14 03:00:00,0.39706000,0.43000000,0.43315000,0.39700000,55738812.90000000
2022-03-14 02:00:00,0.39266000,0.39706000,0.42000000,0.38892000,60268229.60000000
2022-03-14 01:00:00,0.43341000,0.39229000,0.43600000,0.38705000,91684772.70000000
2022-03-14 00:00:00,0.42749000,0.43362000,0.44100000,0.40772000,141439296.40000000
2022-03-13 23:00:00,0.41664000,0.42749000,0.43699000,0.38757000,225528593.40000000
2022-03-13 22:00:00,0.33319000,0.41664000,0.42852000,0.32650000,283005443.30000000
2022-03-13 21:00:00,0.34226000,0.33303000,0.35000000,0.32000000,131314745.10000000
2022-03-13 20:00:00,0.30583000,0.34242000,0.34250000,0.29696000,133661390.40000000
2022-03-13 19:00:00,0.30219000,0.30585000,0.32200000,0.28800000,85406176.20000000
2022-03-13 18:00:00,0.30002000,0.30198000,0.32000000,0.29520000,70297919.20000000
2022-03-13 17:00:00,0.29295000,0.30001000,0.31049000,0.28445000,77006218.50000000
2022-03-13 16:00:00,0.28555000,0.29295000,0.29400000,0.27396000,60867581.80000000
2022-03-13 15:00:00,0.30058000,0.28553000,0.30746000,0.28161000,53367480.70000000
2022-03-13 14:00:00,0.32039000,0.30059000,0.32800000,0.29266000,103423400.30000000
2022-03-13 13:00:00,0.27419000,0.32063000,0.32500000,0.27346000,149237857.80000000
2022-03-13 12:00:00,0.27205000,0.27397000,0.28000000,0.26259000,28639227.90000000
2022-03-13 11:00:00,0.26321000,0.27190000,0.27800000,0.25634000,35674441.30000000
2022-03-13 10:00:00,0.27197000,0.26291000,0.28400000,0.25918000,44890820.30000000
2022-03-13 09:00:00,0.25812000,0.27197000,0.28182000,0.25392000,56566038.80000000
2022-03-13 08:00:00,0.28499000,0.25812000,0.29600000,0.25273000,99744255.80000000
2022-03-13 07:00:00,0.28199000,0.28472000,0.31232000,0.27262000,167912479.60000000
2022-03-13 06:00:00,0.26047000,0.28140000,0.28500000,0.26002000,66824950.50000000
2022-03-13 05:00:00,0.25391000,0.26047000,0.26778000,0.25057000,32010400.40000000
2022-03-13 04:00:00,0.26047000,0.25391000,0.26399000,0.24695000,36651448.40000000
